[ 2025-10-16 17:54:16,593 ] 14 root - INFO - Initiated the data ingestion component
[ 2025-10-16 17:56:54,135 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-16 17:56:54,139 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-16 17:56:54,141 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-16 17:57:21,376 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-16 17:57:23,374 ] 16 root - INFO - Completed the data ingestion component
[ 2025-10-16 17:57:23,390 ] 20 root - INFO - Initiated the data validation component
[ 2025-10-16 17:57:30,548 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 17:57:30,549 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 17:57:30,549 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 17:57:30,549 ] 33 root - INFO - Data frame has columns:22
